SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.022,-6.596,3_glide-grid,-6.596,-2.106,-0.32,-0.0,-2.437,-24.9,-3.127,0.0,-0.01911,-39.1,-28.03,0.02709
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5783,-6.785,3_glide-grid,-6.785,-2.441,0.0,-0.0,-2.879,-25.21,-1.361,0.0,0.0,-37.33,-26.57,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5501,-6.786,3_glide-grid,-6.786,-2.441,0.0,-0.0,-2.912,-25.07,-1.196,0.0,0.0,-36.77,-26.26,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,0.916,-7.339,3_glide-grid,-7.339,-2.156,-0.32,-0.0,-3.308,-24.6,-2.162,0.0,0.0,-37.23,-26.76,0.4765
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.4956,-6.595,3_glide-grid,-6.634,-2.507,0.0,-0.0,-2.813,-25.31,-0.3278,0.0,0.0,-35.71,-25.63,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.4867,-4.851,3_glide-grid,-6.472,-2.508,0.0,-0.0,-2.93,-23.89,1.067,0.0,0.0,-33.65,-22.82,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.159,-6.659,3_glide-grid,-6.659,-1.683,-0.2335,-0.0,-3.23,-20.82,-3.145,0.0,0.0,-33.39,-23.96,0.01778
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.578,-6.52,3_glide-grid,-6.521,-2.609,-0.2834,-0.0,-2.385,-30.63,-3.748,0.8498,0.0,-47.49,-34.38,0.3946
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.139,-8.04,3_glide-grid,-8.042,-3.253,-0.32,-0.0,-2.882,-33.48,-4.691,0.8268,-0.03585,-54.66,-38.17,0.1412
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.514,-6.86,3_glide-grid,-6.862,-1.928,-0.5824,-0.0,-2.905,-30.51,-5.223,0.8621,0.0,-48.44,-35.73,3.438
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.6599,-7.383,3_glide-grid,-7.767,-2.774,0.0,-0.0,-3.519,-21.66,-2.61,0.0,0.0,-37.49,-24.27,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6399,-6.837,3_glide-grid,-7.275,-2.691,-0.2757,-0.0,-2.963,-24.35,-0.8548,0.0,0.0,-35.9,-25.2,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,0.9984,-6.583,3_glide-grid,-6.584,-2.218,-0.006547,-0.0,-2.977,-23.17,-1.49,0.0,0.0,-36.82,-24.66,0.6128
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.5026,-6.915,3_glide-grid,-6.915,-2.729,0.0,-0.0,-2.848,-24.24,-0.8419,0.0,0.0,-35.22,-25.08,0.0
O=C([O-])COc1c(Cl)cccc1Cl,x00261-1,15,Done,,1.204,-6.788,3_glide-grid,-6.788,-2.309,-0.2652,-0.0,-2.809,-23.49,-3.852,0.3479,0.0,-40.74,-27.34,0.472
Cc1ccc(CS(N)(=O)=O)cc1F,x00337-1,16,Done,,1.44,-6.785,3_glide-grid,-6.785,-1.396,-0.32,-0.0,-3.122,-17.7,-9.207,0.3975,-0.07845,-37.27,-26.91,0.5417
COc1ccccc1-c1nnco1,x00348-1,17,Done,,1.13,-6.047,3_glide-grid,-6.047,-2.129,0.0,-0.0,-2.734,-24.01,-3.077,0.5035,-0.02574,-36.67,-27.09,0.3655
