SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.504,-6.651,generate-grids-gridgen,-6.652,-2.265,0.0,-0.0,-2.691,-27.58,-2.11,0.0,0.0,-41.32,-29.69,0.1611
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.6053,-7.373,generate-grids-gridgen,-7.373,-2.246,-0.4809,-0.0,-2.814,-22.57,-4.693,0.0,0.0,-38.99,-27.26,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.6165,-6.24,generate-grids-gridgen,-6.24,-2.124,0.0,-0.0,-2.622,-25.59,-1.436,0.0,0.0,-37.1,-27.03,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.026,-7.272,generate-grids-gridgen,-7.272,-1.971,-0.32,-0.0,-3.292,-22.89,-3.626,0.0,0.0,-37.74,-26.52,0.4573
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5529,-6.775,generate-grids-gridgen,-6.815,-2.372,-0.178,-0.0,-2.756,-24.91,-1.761,0.0,0.0,-37.55,-26.67,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5329,-4.527,generate-grids-gridgen,-6.149,-2.254,0.0,-0.0,-2.717,-23.34,-0.0748,0.0,0.0,-33.82,-23.41,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.3,-7.262,generate-grids-gridgen,-7.262,-1.609,-0.608,-0.0,-3.025,-18.78,-7.203,0.0,0.0,-37.03,-25.98,0.1695
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.648,-6.15,generate-grids-gridgen,-6.152,-2.214,-0.32,-0.0,-2.233,-28.75,-5.313,0.8498,0.0,-46.39,-34.06,0.4586
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.189,-4.502,generate-grids-gridgen,-4.504,-2.917,0.0,-0.0,-0.4923,-34.99,-1.148,0.8268,0.0,-41.75,-36.14,8.039
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.806,-6.006,generate-grids-gridgen,-6.008,-2.996,-0.2666,-0.0,-1.723,-32.42,-1.752,0.8621,0.0,-44.87,-34.17,4.611
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.6909,-6.623,generate-grids-gridgen,-7.007,-2.56,0.0,-0.0,-2.772,-21.49,-4.01,0.0,0.0,-37.89,-25.5,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6838,-6.639,generate-grids-gridgen,-7.078,-2.528,-0.2423,-0.0,-2.91,-23.83,-1.374,0.0,0.0,-35.92,-25.21,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.093,-6.581,generate-grids-gridgen,-6.582,-2.157,-0.1511,-0.0,-2.381,-17.66,-6.73,0.0,0.0,-38.23,-24.39,0.06399
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.5788,-6.811,generate-grids-gridgen,-6.811,-2.524,0.0,-0.0,-2.666,-27.86,-1.516,0.0,0.0,-41.26,-29.38,0.0
O=C([O-])COc1c(Cl)cccc1Cl,x00261-1,15,Done,,1.397,-6.448,generate-grids-gridgen,-6.448,-1.965,-0.32,-0.0,-2.723,-22.8,-4.324,0.3479,0.0,-41.61,-27.12,0.2427
Cc1ccc(CS(N)(=O)=O)cc1F,x00337-1,16,Done,,1.619,-6.612,generate-grids-gridgen,-6.612,-1.889,0.0,-0.0,-3.558,-27.25,-1.339,0.3975,0.0,-39.39,-28.59,1.078
COc1ccccc1-c1nnco1,x00348-1,17,Done,,1.223,-6.052,generate-grids-gridgen,-6.052,-2.603,0.0,-0.0,-2.352,-26.02,-2.001,0.5035,0.0,-38.45,-28.02,0.02295
CNC(=O)c1cccc2cc[nH]c12,x00358-1,18,Done,,1.512,-7.321,generate-grids-gridgen,-7.321,-2.542,-0.1555,-0.0,-2.847,-27.64,-2.631,0.0,0.0,-43.4,-30.27,0.1264
O=C(COc1ccccc1)Nc1ccccc1O,x00370-1,19,Done,,5.3,-6.821,generate-grids-gridgen,-6.822,-2.918,-0.2442,-0.0,-2.448,-32.14,-5.159,1.174,-0.0052,-52.69,-37.3,0.7141
CC(C)N1CCN(C(=O)c2cccs2)CC1,x00406-1,20,Done,,3.078,-6.736,generate-grids-gridgen,-6.969,-2.583,-0.32,-0.0,-2.64,-30.14,-3.509,0.6076,0.0,-46.15,-33.65,2.279
CC(C)[NH+]1CCN(C(=O)c2cccs2)CC1,x00406-1,21,Done,,2.162,-6.935,generate-grids-gridgen,-7.6,-2.088,0.0,-0.0,-4.033,-29.21,-4.146,0.6032,0.0,-48.03,-33.36,2.488
CC1(C)CN(C(=O)NCC2CC2)C1(C)C,x00409-1,22,Done,,2.907,-6.874,generate-grids-gridgen,-6.874,-2.725,-0.291,-0.0,-3.32,-23.69,-3.195,1.126,0.0,-37.83,-26.88,1.404
O=C(N1CCOCC1)N1CCC=C(F)C1,x00433-1,23,Done,,2.474,-7.555,generate-grids-gridgen,-7.555,-2.393,0.0,-0.0,-4.281,-31.02,-0.3905,0.7278,0.0,-46.24,-31.41,0.01433
COc1ccc(Cn2ccnn2)cc1F,x00462-1,24,Done,,1.623,-7.092,generate-grids-gridgen,-7.092,-2.619,0.0,-0.0,-3.435,-29.43,-2.241,0.7698,0.0,-44.72,-31.68,0.1972
Cc1ccc(CNC(=O)c2sccc2C)cc1,x00463-1,25,Done,,3.087,-4.706,generate-grids-gridgen,-4.706,-2.648,-0.08676,-0.0,-1.159,-31.3,-2.695,1.157,0.0,-40.95,-34.0,7.441
CN(C[C@@H]1CCOC1)c1ncncc1Cl,x00494-1,26,Done,,5.652,-6.326,generate-grids-gridgen,-6.327,-2.647,0.0,-0.0,-2.973,-29.58,-1.417,0.9851,0.0,-41.05,-31.0,3.079
O=C(CSc1ccccc1)NC1CCCCC1,x00509-1,27,Done,,7.087,-6.648,generate-grids-gridgen,-6.648,-3.234,-0.02002,-0.0,-2.361,-30.33,-2.401,0.8436,0.0,-46.01,-32.73,0.8725
CC(=O)c1cccc(NC(=O)C(F)(F)F)c1,x00512-1,28,Done,,1.898,-7.631,generate-grids-gridgen,-7.631,-2.074,-0.09019,-0.0,-4.13,-28.7,-3.608,0.64,0.0,-46.65,-32.31,0.92
COc1cccnc1C#N,x00527-1,29,Done,,0.7224,-6.057,generate-grids-gridgen,-6.057,-1.692,0.0,-0.0,-3.062,-22.33,-1.248,0.0,0.0,-32.04,-23.58,0.1298
COC(=O)c1ccc(S(N)(=O)=O)cc1,x00543-1,30,Done,,1.436,-5.619,generate-grids-gridgen,-5.621,-1.593,-0.32,-0.0,-2.09,-28.97,-3.527,0.3611,-0.001319,-42.24,-32.5,1.573
Cc1occc1C(=O)N1CCc2ccccc21,x00555-1,31,Done,,1.384,-4.279,generate-grids-gridgen,-4.279,-3.296,0.0,-0.0,-0.07027,-33.64,0.7346,0.6588,0.0,-39.01,-32.9,5.236
Cc1cc(F)cc(S(N)(=O)=O)c1,x00558-1,32,Done,,1.146,-5.481,generate-grids-gridgen,-5.482,-1.994,-0.32,-0.0,-1.349,-24.47,-3.97,0.0,0.0,-37.23,-28.44,0.7775
O=C(Cc1ccc(F)cc1)Nc1ccc(F)cc1,x00612-1,33,Done,,2.063,-8.565,generate-grids-gridgen,-8.565,-2.789,-0.32,-0.0,-4.096,-30.66,-2.653,0.5707,0.0,-49.47,-33.31,2.0
Cc1ccc(NC(=O)c2cccc(F)c2)cc1O,x00625-1,34,Done,,2.449,-6.965,generate-grids-gridgen,-6.966,-2.59,-0.3573,-0.0,-2.614,-28.35,-5.667,0.868,-0.005554,-48.17,-34.02,0.2253
CCN(CC)c1cc(C)nc2ncnn12,x00638-1,35,Done,,1.676,-5.998,generate-grids-gridgen,-5.998,-1.738,0.0,-0.0,-2.918,-27.68,-2.332,0.391,0.0,-40.35,-30.01,0.5791
C[C@@H]1CCCN(C(=O)c2cscn2)CC1,x00644-1,36,Done,,2.77,-6.577,generate-grids-gridgen,-6.577,-2.566,0.0,-0.0,-2.881,-30.78,-1.758,0.6735,0.0,-45.23,-32.54,0.3777
Cn1ncc(Cl)c1C(=O)N1CCCCC1,x00652-1,37,Done,,1.36,-7.137,generate-grids-gridgen,-7.137,-2.619,0.0,-0.0,-3.668,-28.22,-0.6333,0.6567,0.0,-41.51,-28.86,2.745
CN(C)C(=O)c1cc2cccc(F)c2o1,x00664-1,38,Done,,1.5,-7.162,generate-grids-gridgen,-7.162,-2.472,0.0,-0.0,-3.314,-29.17,0.5493,0.0,0.0,-40.59,-28.62,0.7616
Cc1ccn(Cc2csc(C)n2)c(=O)c1,x00674-1,39,Done,,0.9349,-6.332,generate-grids-gridgen,-6.333,-2.624,-0.06342,-0.0,-2.54,-30.14,-1.957,0.6944,0.0,-43.45,-32.1,0.5081
