SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.419,-6.094,generate-grids-gridgen,-6.094,-2.663,-0.32,-0.0,-1.033,-26.79,-4.923,0.0,0.0,-42.76,-31.71,0.7553
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.6084,-7.279,generate-grids-gridgen,-7.279,-2.082,-0.5732,-0.0,-2.797,-20.56,-5.172,0.0,-0.0228,-37.04,-25.73,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5588,-6.758,generate-grids-gridgen,-6.758,-2.437,0.0,-0.0,-2.876,-26.47,-0.8116,0.0,0.0,-38.26,-27.28,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.032,-7.282,generate-grids-gridgen,-7.282,-2.027,-0.32,-0.0,-3.266,-23.79,-3.195,0.0,0.0,-38.35,-26.98,0.6909
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.538,-6.416,generate-grids-gridgen,-6.455,-2.334,0.0,-0.0,-2.699,-26.32,-0.7075,0.0,0.0,-37.47,-27.03,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5209,-4.886,generate-grids-gridgen,-6.507,-2.356,0.0,-0.0,-3.018,-24.15,0.4942,0.0,0.0,-34.03,-23.66,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.3,-6.98,generate-grids-gridgen,-6.98,-1.683,-0.32,-0.0,-3.181,-21.25,-4.885,0.0,0.0,-36.74,-26.14,0.3262
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.661,-6.48,generate-grids-gridgen,-6.481,-2.029,-0.3507,-0.0,-2.55,-26.12,-7.08,0.8498,-0.03362,-45.97,-33.2,0.4624
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.212,-6.893,generate-grids-gridgen,-6.895,-3.728,0.0,-0.0,-2.093,-35.62,-0.7933,0.8268,0.0,-49.4,-36.41,5.208
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.919,-6.238,generate-grids-gridgen,-6.24,-3.1,-0.32,-0.0,-1.598,-34.07,-2.535,0.8621,0.0,-47.76,-36.6,4.788
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.724,-6.548,generate-grids-gridgen,-6.932,-2.137,0.0,-0.0,-2.91,-19.84,-5.627,0.0,-0.04904,-37.15,-25.47,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6983,-7.077,generate-grids-gridgen,-7.516,-2.158,-0.5853,-0.0,-3.017,-21.22,-4.636,0.0,0.0,-37.31,-25.85,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.063,-6.59,generate-grids-gridgen,-6.591,-2.291,0.0,-0.0,-3.008,-23.26,-0.8556,0.0,0.0,-35.75,-24.12,0.06791
