SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.417,-6.164,generate-grids-gridgen,-6.164,-1.871,-0.32,-0.0,-2.078,-23.42,-4.313,0.0,-0.0776,-38.24,-27.73,0.04367
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5947,-7.005,generate-grids-gridgen,-7.005,-2.088,-0.4342,-0.0,-2.793,-20.77,-4.252,0.0,-0.01323,-35.38,-25.02,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5787,-6.069,generate-grids-gridgen,-6.069,-2.189,0.0,-0.0,-2.594,-23.94,-0.5895,0.0,0.0,-33.4,-24.53,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.037,-7.177,generate-grids-gridgen,-7.177,-1.932,-0.4797,-0.0,-3.146,-21.22,-3.72,0.0,0.0,-35.3,-24.94,0.6552
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5534,-6.462,generate-grids-gridgen,-6.501,-2.3,0.0,-0.0,-2.834,-24.35,-0.9981,0.0,0.0,-35.1,-25.35,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5268,-4.653,generate-grids-gridgen,-6.274,-2.288,0.0,-0.0,-2.88,-22.87,0.2483,0.0,0.0,-32.08,-22.63,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.343,-7.205,generate-grids-gridgen,-7.205,-1.7,-0.608,-0.0,-3.208,-18.51,-5.088,0.0,0.0,-34.02,-23.6,0.111
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.649,-6.404,generate-grids-gridgen,-6.405,-2.519,-0.2603,-0.0,-2.205,-30.43,-4.998,0.8498,0.0,-48.91,-35.42,0.2117
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.547,-7.85,generate-grids-gridgen,-7.852,-3.282,-0.32,-0.0,-2.584,-31.59,-6.084,0.8268,0.0,-52.75,-37.67,3.068
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.908,-5.726,generate-grids-gridgen,-5.728,-2.846,0.0,-0.0,-1.804,-32.37,-2.146,0.8621,0.0,-44.65,-34.51,4.622
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.7064,-6.111,generate-grids-gridgen,-6.495,-2.024,0.0,-0.0,-2.829,-18.84,-4.674,0.0,0.0,-33.78,-23.51,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6935,-6.67,generate-grids-gridgen,-7.109,-2.528,-0.32,-0.0,-2.787,-21.51,-2.655,0.0,0.0,-34.62,-24.17,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.069,-6.836,generate-grids-gridgen,-6.836,-2.056,-0.16,-0.0,-2.617,-20.55,-6.504,0.0,0.0,-40.01,-27.06,0.7429
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.5724,-6.96,generate-grids-gridgen,-6.96,-1.721,-0.5964,-0.0,-2.642,-20.37,-6.276,0.0,-0.04021,-37.48,-26.65,0.0
O=C([O-])COc1c(Cl)cccc1Cl,x00261-1,15,Done,,1.227,-6.637,generate-grids-gridgen,-6.637,-2.22,-0.16,-0.0,-2.534,-21.69,-6.578,0.3479,0.0,-42.25,-28.27,0.1388
Cc1ccc(CS(N)(=O)=O)cc1F,x00337-1,16,Done,,1.585,-7.075,generate-grids-gridgen,-7.076,-1.923,-0.3131,-0.0,-3.245,-21.15,-5.7,0.3975,-0.07903,-37.82,-26.85,1.211
COc1ccccc1-c1nnco1,x00348-1,17,Done,,1.242,-6.444,generate-grids-gridgen,-6.444,-2.622,0.0,-0.0,-2.818,-26.6,-1.185,0.5035,0.0,-38.12,-27.79,0.5222
CNC(=O)c1cccc2cc[nH]c12,x00358-1,18,Done,,1.572,-7.416,generate-grids-gridgen,-7.416,-2.455,-0.32,-0.0,-3.009,-25.84,-2.263,0.0,0.0,-40.5,-28.11,0.1659
O=C(COc1ccccc1)Nc1ccccc1O,x00370-1,19,Done,,5.475,-7.5,generate-grids-gridgen,-7.501,-3.196,-0.32,-0.0,-2.59,-30.48,-6.961,1.174,0.0,-52.55,-37.44,4.928
CC(C)N1CCN(C(=O)c2cccs2)CC1,x00406-1,20,Done,,2.943,-6.575,generate-grids-gridgen,-6.809,-2.661,-0.3451,-0.0,-2.242,-31.92,-3.81,0.6076,0.0,-49.53,-35.73,0.01934
CC(C)[NH+]1CCN(C(=O)c2cccs2)CC1,x00406-1,21,Done,,2.265,-7.517,generate-grids-gridgen,-8.182,-2.48,-0.32,-0.0,-3.555,-29.73,-6.294,0.6032,0.0,-52.82,-36.02,0.3049
CC1(C)CN(C(=O)NCC2CC2)C1(C)C,x00409-1,22,Done,,3.168,-6.828,generate-grids-gridgen,-6.828,-2.93,0.0,-0.0,-3.634,-28.68,0.2928,1.126,0.0,-38.49,-28.38,3.351
O=C(N1CCOCC1)N1CCC=C(F)C1,x00433-1,23,Done,,2.389,-7.455,generate-grids-gridgen,-7.455,-2.01,-0.608,-0.0,-3.349,-24.7,-6.534,0.7278,0.0,-44.8,-31.23,1.319
COc1ccc(Cn2ccnn2)cc1F,x00462-1,24,Done,,1.468,-6.239,generate-grids-gridgen,-6.239,-2.366,0.0,-0.0,-3.129,-28.46,-0.6068,0.7698,0.0,-39.54,-29.07,0.5583
Cc1ccc(CNC(=O)c2sccc2C)cc1,x00463-1,25,Done,,3.237,-6.035,generate-grids-gridgen,-6.035,-3.758,-0.32,-0.0,-1.276,-34.52,-0.7418,1.157,0.0,-45.77,-35.26,5.569
CN(C[C@@H]1CCOC1)c1ncncc1Cl,x00494-1,26,Done,,4.951,-6.711,generate-grids-gridgen,-6.712,-2.305,-0.32,-0.0,-3.378,-25.9,-2.656,0.9851,0.0,-38.9,-28.56,3.268
O=C(CSc1ccccc1)NC1CCCCC1,x00509-1,27,Done,,6.834,-7.365,generate-grids-gridgen,-7.365,-3.469,-0.32,-0.0,-2.217,-30.16,-4.629,0.8436,0.0,-50.15,-34.79,0.5556
