SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,1.981,-6.881,generate-grids-gridgen,-6.881,-2.228,-0.2948,-0.0,-2.173,-23.28,-6.806,0.0,0.0,-42.44,-30.09,0.05171
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5653,-7.562,generate-grids-gridgen,-7.562,-1.92,-0.5117,-0.0,-3.415,-21.12,-4.398,0.0,0.0,-36.87,-25.52,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5536,-6.312,generate-grids-gridgen,-6.312,-1.929,-0.1099,-0.0,-2.826,-22.44,-2.161,0.0,0.0,-33.65,-24.6,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,0.9404,-7.771,generate-grids-gridgen,-7.771,-2.006,-0.6053,-0.0,-3.311,-21.36,-5.202,0.0,0.0,-38.76,-26.56,0.6465
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.574,-6.75,generate-grids-gridgen,-6.789,-2.453,0.0,-0.0,-2.95,-23.49,-1.408,0.0,0.0,-34.92,-24.9,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5352,-4.895,generate-grids-gridgen,-6.517,-1.619,-0.5311,-0.0,-3.068,-19.1,-2.29,0.0,0.0,-33.84,-21.39,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.151,-7.308,generate-grids-gridgen,-7.308,-1.781,-0.4963,-0.0,-3.248,-21.01,-4.872,0.0,0.0,-37.15,-25.89,0.1134
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.084,-5.774,generate-grids-gridgen,-5.776,-2.465,0.0,-0.0,-2.25,-30.4,-2.608,0.8498,0.0,-42.47,-33.0,3.257
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,1.837,-7.288,generate-grids-gridgen,-7.29,-2.886,-0.32,-0.0,-2.578,-30.08,-5.524,0.8268,0.0,-51.48,-35.6,0.244
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.409,-6.726,generate-grids-gridgen,-6.728,-2.081,-0.523,-0.0,-2.779,-27.83,-5.437,0.8621,0.0,-46.94,-33.27,0.2493
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.6802,-6.088,generate-grids-gridgen,-6.472,-2.051,0.0,-0.0,-2.867,-19.07,-4.005,0.0,0.0,-32.86,-23.07,0.0
