SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.387,-5.264,generate-grids-gridgen,-5.264,-1.82,-0.08151,-0.0,-1.626,-25.61,-2.7,0.0,-0.05162,-38.41,-28.31,0.0001852
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5909,-5.986,generate-grids-gridgen,-5.986,-2.033,-0.1092,-0.0,-2.548,-21.67,-0.9195,0.0,-0.07463,-31.44,-22.59,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5884,-5.38,generate-grids-gridgen,-5.38,-1.719,0.0,-0.0,-2.387,-23.2,-0.7601,0.0,0.0,-31.92,-23.96,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.116,-5.303,generate-grids-gridgen,-5.303,-0.8155,-0.2077,-0.0,-2.749,-21.94,-2.889,0.0,0.0,-32.93,-24.83,0.04684
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5474,-5.562,generate-grids-gridgen,-5.602,-1.66,-0.08436,-0.0,-2.348,-23.08,-2.367,0.0,0.0,-34.39,-25.45,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5057,-3.689,generate-grids-gridgen,-5.31,-1.64,-0.196,-0.0,-2.331,-22.04,-0.2713,0.0,0.0,-29.0,-22.31,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.346,-5.78,generate-grids-gridgen,-5.78,-1.424,-0.08734,-0.0,-2.827,-19.68,-2.743,0.0,-0.04679,-31.09,-22.42,0.0009931
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.634,-3.83,generate-grids-gridgen,-3.831,-2.194,0.0,-0.0,-0.8142,-30.59,-0.7158,0.8498,-0.03604,-36.57,-31.3,3.87
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.738,-6.039,generate-grids-gridgen,-6.041,-2.253,-0.06558,-0.0,-2.596,-34.77,-1.428,0.8268,0.0,-49.35,-36.2,0.01239
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,3.234,-5.946,generate-grids-gridgen,-5.948,-2.155,-0.1718,-0.0,-2.558,-30.02,-2.826,0.8621,0.0,-45.21,-32.84,1.588
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.71,-5.638,generate-grids-gridgen,-6.022,-1.931,-0.2,-0.0,-2.473,-17.77,-3.051,0.0,-0.07121,-33.47,-20.82,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6481,-5.034,generate-grids-gridgen,-5.473,-1.886,0.0,-0.0,-2.367,-21.37,-1.004,0.0,0.0,-30.31,-22.38,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.072,-5.534,generate-grids-gridgen,-5.535,-1.31,-0.1291,-0.0,-2.616,-23.98,-1.865,0.0,0.0,-34.88,-25.85,0.01033
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.5673,-5.968,generate-grids-gridgen,-5.968,-2.141,0.0,-0.0,-2.408,-23.56,-1.527,0.0,-0.01195,-34.53,-25.09,0.0
O=C([O-])COc1c(Cl)cccc1Cl,x00261-1,15,Done,,1.413,-5.889,generate-grids-gridgen,-5.889,-2.262,-0.1229,-0.0,-2.443,-23.57,-1.536,0.3479,0.0,-34.59,-25.11,0.3764
Cc1ccc(CS(N)(=O)=O)cc1F,x00337-1,16,Done,,1.789,-5.921,generate-grids-gridgen,-5.921,-1.866,-0.1141,-0.0,-2.486,-24.28,-3.972,0.3975,-0.0434,-40.07,-28.25,0.07651
COc1ccccc1-c1nnco1,x00348-1,17,Done,,1.183,-5.43,generate-grids-gridgen,-5.43,-2.075,0.0,-0.0,-2.404,-24.78,-1.437,0.5035,0.0,-35.26,-26.22,0.06724
CNC(=O)c1cccc2cc[nH]c12,x00358-1,18,Done,,1.549,-6.404,generate-grids-gridgen,-6.404,-1.764,-0.288,-0.0,-2.747,-24.38,-2.577,0.0,0.0,-38.12,-26.96,0.3635
O=C(COc1ccccc1)Nc1ccccc1O,x00370-1,19,Done,,5.278,-5.597,generate-grids-gridgen,-5.598,-2.005,-0.2415,-0.0,-2.402,-32.8,-3.217,1.174,0.0,-47.35,-36.02,4.326
CC(C)N1CCN(C(=O)c2cccs2)CC1,x00406-1,20,Done,,2.486,-5.651,generate-grids-gridgen,-5.884,-2.041,0.0,-0.0,-2.835,-33.04,0.2416,0.6076,0.0,-45.31,-32.8,0.2406
CC(C)[NH+]1CCN(C(=O)c2cccs2)CC1,x00406-1,21,Done,,2.139,-5.959,generate-grids-gridgen,-6.623,-1.997,0.0,-0.0,-2.965,-32.39,-3.886,0.6032,-0.06214,-52.86,-36.27,3.962
CC1(C)CN(C(=O)NCC2CC2)C1(C)C,x00409-1,22,Done,,3.091,-4.332,generate-grids-gridgen,-4.332,-1.165,0.0,-0.0,-2.802,-22.99,-2.273,1.126,0.0,-31.9,-25.26,0.5131
O=C(N1CCOCC1)N1CCC=C(F)C1,x00433-1,23,Done,,2.259,-6.058,generate-grids-gridgen,-6.058,-1.656,0.0,-0.0,-3.445,-30.08,-1.206,0.7278,0.0,-42.86,-31.28,0.03757
COc1ccc(Cn2ccnn2)cc1F,x00462-1,24,Done,,1.563,-6.288,generate-grids-gridgen,-6.288,-2.55,0.0,-0.0,-2.993,-27.67,-0.8721,0.7698,0.0,-39.75,-28.54,0.1091
Cc1ccc(CNC(=O)c2sccc2C)cc1,x00463-1,25,Done,,3.788,-5.562,generate-grids-gridgen,-5.562,-2.473,0.0,-0.0,-2.484,-34.72,-0.1675,1.157,0.0,-46.01,-34.88,1.428
CN(C[C@@H]1CCOC1)c1ncncc1Cl,x00494-1,26,Done,,4.971,-4.83,generate-grids-gridgen,-4.83,-1.382,0.0,-0.0,-2.674,-28.6,-2.195,0.9851,0.0,-38.1,-30.79,2.455
O=C(CSc1ccccc1)NC1CCCCC1,x00509-1,27,Done,,6.513,-5.344,generate-grids-gridgen,-5.344,-1.941,0.0,-0.0,-2.26,-31.5,-2.74,0.8436,0.0,-45.09,-34.24,1.065
CC(=O)c1cccc(NC(=O)C(F)(F)F)c1,x00512-1,28,Done,,1.816,-5.868,generate-grids-gridgen,-5.868,-1.195,-0.05766,-0.0,-3.539,-28.95,-1.794,0.64,0.0,-40.74,-30.74,1.242
COc1cccnc1C#N,x00527-1,29,Done,,0.6354,-4.587,generate-grids-gridgen,-4.587,-0.5094,0.0,-0.0,-2.892,-22.14,-0.5283,0.0,0.0,-29.0,-22.67,0.04757
COC(=O)c1ccc(S(N)(=O)=O)cc1,x00543-1,30,Done,,1.511,-4.84,generate-grids-gridgen,-4.842,-1.041,-0.1561,-0.0,-1.963,-26.79,-4.177,0.3611,-0.07666,-40.87,-30.96,0.5214
Cc1occc1C(=O)N1CCc2ccccc21,x00555-1,31,Done,,1.295,-5.739,generate-grids-gridgen,-5.739,-2.059,0.0,-0.0,-2.585,-29.89,-1.732,0.6588,0.0,-40.57,-31.63,4.855
Cc1cc(F)cc(S(N)(=O)=O)c1,x00558-1,32,Done,,1.148,-5.6,generate-grids-gridgen,-5.601,-1.484,0.0,-0.0,-2.605,-21.53,-2.909,0.0,0.0,-33.73,-24.44,0.07151
O=C(Cc1ccc(F)cc1)Nc1ccc(F)cc1,x00612-1,33,Done,,2.171,-6.125,generate-grids-gridgen,-6.125,-2.175,0.0,-0.0,-2.646,-32.05,-1.743,0.5707,-0.01031,-46.53,-33.8,0.2248
Cc1ccc(NC(=O)c2cccc(F)c2)cc1O,x00625-1,34,Done,,2.632,-6.253,generate-grids-gridgen,-6.254,-2.352,-0.32,-0.0,-2.345,-30.5,-3.864,0.868,-0.0003005,-46.42,-34.37,2.873
CCN(CC)c1cc(C)nc2ncnn12,x00638-1,35,Done,,1.55,-6.049,generate-grids-gridgen,-6.049,-1.463,0.0,-0.0,-3.33,-28.45,-1.497,0.391,0.0,-41.08,-29.94,0.5662
C[C@@H]1CCCN(C(=O)c2cscn2)CC1,x00644-1,36,Done,,2.367,-5.906,generate-grids-gridgen,-5.906,-1.504,-0.2594,-0.0,-2.836,-30.99,-2.869,0.6735,0.0,-46.32,-33.86,0.2658
Cn1ncc(Cl)c1C(=O)N1CCCCC1,x00652-1,37,Done,,1.208,-5.843,generate-grids-gridgen,-5.843,-1.875,0.0,-0.0,-3.11,-28.25,-0.6818,0.6567,0.0,-39.2,-28.94,0.8694
CN(C)C(=O)c1cc2cccc(F)c2o1,x00664-1,38,Done,,1.517,-6.196,generate-grids-gridgen,-6.196,-2.026,-0.008481,-0.0,-2.625,-27.64,-1.03,0.0,0.0,-38.83,-28.67,1.962
Cc1ccn(Cc2csc(C)n2)c(=O)c1,x00674-1,39,Done,,1.003,-5.6,generate-grids-gridgen,-5.601,-2.24,0.0,-0.0,-2.303,-32.22,-0.9434,0.6944,0.0,-43.93,-33.17,0.4782
Cn1nnc(NC(=O)c2cc3ccccc3o2)n1,x00714-1,40,Done,,1.191,-5.219,generate-grids-gridgen,-5.219,-1.543,0.0,-0.0,-2.955,-32.41,0.1314,0.8804,0.0,-40.72,-32.28,2.908
O=C(CCC1CCCCC1)N1CCOCC1,x00720-1,41,Done,,4.012,-6.05,generate-grids-gridgen,-6.05,-2.647,-0.02325,-0.0,-2.346,-26.39,-2.447,0.6684,-0.01617,-38.71,-28.84,1.32
Nc1ccc(CC(=O)N2CCc3ccccc32)cc1,x00753-1,42,Done,,2.536,-5.898,generate-grids-gridgen,-5.899,-2.12,0.0,-0.0,-2.795,-30.34,-1.875,0.8268,-0.01297,-45.12,-32.21,0.8353
CN1CCCc2ccc(S(N)(=O)=O)cc21,x00757-1,43,Done,,1.641,-6.826,generate-grids-gridgen,-6.826,-2.386,-0.32,-0.0,-2.078,-28.21,-4.212,0.0,0.0,-46.37,-32.42,0.1475
CC(=O)N1CCOc2ccccc2C1,x00773-1,44,Done,,1.393,-6.186,generate-grids-gridgen,-6.186,-2.047,-0.0131,-0.0,-2.395,-29.51,-1.236,0.0,-0.07079,-42.33,-30.75,0.4952
O=C(NCCc1cccs1)C1CCCCC1,x00794-1,45,Done,,6.183,-6.201,generate-grids-gridgen,-6.201,-2.888,0.0,-0.0,-2.575,-30.25,-0.9568,0.9178,0.0,-40.26,-31.21,6.517
CC(=O)NCCc1c[nH]c2ccc(F)cc12,x00819-1,46,Done,,2.191,-6.211,generate-grids-gridgen,-6.211,-2.191,-0.1332,-0.0,-2.718,-30.16,-2.3,0.6947,-0.01175,-43.86,-32.46,3.986
CC(=O)N1C[C@H](C)Oc2c(F)cccc21,x00913-1,47,Done,,1.363,-6.521,generate-grids-gridgen,-6.521,-1.65,0.0,-0.0,-3.132,-28.3,-2.156,0.0,0.0,-42.6,-30.45,0.2123
COc1ccc(Br)cc1CNC(C)=O,x00979-1,48,Done,,1.609,-4.105,generate-grids-gridgen,-4.105,-1.837,-0.2508,-0.0,-0.648,-29.14,-2.954,0.5301,0.0,-38.49,-32.09,3.656
Cc1nn(C)c2c(=O)[nH]ncc12,x00981-1,49,Done,,0.7113,-5.744,generate-grids-gridgen,-5.744,-1.424,-0.1275,-0.0,-2.624,-23.4,-2.175,0.0,-0.07245,-35.34,-25.57,0.0
O=C(Nc1cccc(Cl)c1)C(F)(F)F,x00982-1,50,Done,,1.409,-5.518,generate-grids-gridgen,-5.518,-1.325,0.0,-0.0,-3.008,-25.5,-1.659,0.3386,0.0,-36.35,-27.15,0.07673
Cc1ccc(-n2nnnc2N)cc1,x00990-1,51,Done,,0.9516,-5.659,generate-grids-gridgen,-5.659,-1.6,-0.1574,-0.0,-2.664,-24.5,-2.903,0.5082,-0.08593,-36.76,-27.4,0.2926
COc1ccc2cn[nH]c(=O)c2c1OC,x01009-1,52,Done,,1.386,-6.104,generate-grids-gridgen,-6.104,-1.998,-0.1375,-0.0,-2.157,-27.78,-2.301,0.0,-0.07721,-41.95,-30.09,0.2429
N#Cc1ccc(N2CCCOCC2)cn1,x01016-1,53,Done,,1.427,-5.771,generate-grids-gridgen,-5.771,-1.533,0.0,-0.0,-3.021,-29.96,-0.7841,0.3975,0.0,-41.02,-30.74,0.05964
COC(=O)c1ccc(NC(=O)C(F)(F)F)cc1,x01039-1,54,Done,,1.549,-5.037,generate-grids-gridgen,-5.037,-1.111,0.0,-0.0,-3.249,-28.19,-0.8241,0.8565,0.0,-37.59,-29.02,2.435
O=C(c1ccccc1)N1[C@H]2CC[C@@H]1CC2,x01070-1,55,Done,,1.653,-6.122,generate-grids-gridgen,-6.122,-2.16,0.0,-0.0,-3.186,-29.07,-0.8765,0.8081,0.0,-41.3,-29.94,0.3277
O=C(COc1ccccc1)NC1CCCC1,x01105-1,56,Done,,9.869,-5.724,generate-grids-gridgen,-5.724,-2.461,0.0,-0.0,-2.548,-29.33,-1.607,1.05,-0.05796,-40.58,-30.94,3.343
O=C(CCc1ccccc1)N1CCOCC1,x01108-1,57,Done,,3.047,-6.757,generate-grids-gridgen,-6.757,-2.64,0.0,-0.0,-3.122,-29.78,-1.377,0.6999,0.0,-42.51,-31.15,2.559
O=C(CCOc1ccccc1)N1CCCC1,x01111-1,58,Done,,4.165,-6.146,generate-grids-gridgen,-6.146,-2.25,-0.02082,-0.0,-3.089,-30.86,-1.955,1.05,0.0,-41.95,-32.82,5.151
Cc1ccc2nc(N)sc2c1,x01126-1,59,Done,,0.6636,-6.173,generate-grids-gridgen,-6.173,-2.124,-0.1158,-0.0,-2.553,-23.48,-1.064,0.0,-0.04706,-34.14,-24.55,0.0
O=C1NCCc2ccccc21,x01130-1,60,Done,,0.6964,-5.056,generate-grids-gridgen,-5.056,-1.136,0.0,-0.0,-2.673,-22.63,-0.7737,0.0,0.0,-31.15,-23.4,0.0
NS(=O)(=O)c1ccccc1F,x01131-1,61,Done,,1.08,-4.781,generate-grids-gridgen,-4.782,-0.7213,0.0,-0.0,-2.506,-22.19,-2.965,0.0,0.0,-32.32,-25.16,0.4893
O=C1Nc2cccc3cccc1c23,x01217-1,62,Done,,0.6786,-6.645,generate-grids-gridgen,-6.645,-2.165,-0.04131,-0.0,-2.901,-24.26,-1.824,0.0,-0.05058,-37.48,-26.09,0.0
Nc1nc2c(Cl)cccc2s1,x01233-1,63,Done,,0.5748,-6.257,generate-grids-gridgen,-6.257,-2.228,-0.1091,-0.0,-2.471,-24.01,-1.163,0.0,-0.07459,-35.4,-25.17,0.0
O=C([O-])Cn1c2ccccc2c(=O)c2ccccc21,x01234-1,64,Done,,1.451,-7.349,generate-grids-gridgen,-7.35,-2.984,-0.07572,-0.0,-2.492,-32.49,-1.164,0.0,0.0,-49.87,-33.66,0.4113
Nc1ccc2ccccc2n1,x01249-1,65,Done,,0.655,-5.587,generate-grids-gridgen,-5.743,-2.051,0.0,-0.0,-2.545,-22.23,-0.237,0.0,0.0,-30.68,-22.47,0.0
Nc1ccc2ccccc2[nH+]1,x01249-1,66,Done,,0.6716,-5.202,generate-grids-gridgen,-6.068,-2.244,-0.0312,-0.0,-2.531,-18.44,-1.82,0.0,-0.06647,-32.93,-20.26,0.0
