SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.321,-5.889,generate-grids-gridgen,-5.89,-1.655,-0.32,-0.0,-2.199,-23.67,-3.55,0.0,0.0,-36.65,-27.22,0.0004855
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5622,-6.636,generate-grids-gridgen,-6.636,-2.342,-0.2315,-0.0,-2.745,-22.92,-1.144,0.0,0.0,-33.42,-24.06,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5412,-6.27,generate-grids-gridgen,-6.27,-2.221,0.0,-0.0,-2.714,-23.53,-1.058,0.0,0.0,-33.67,-24.59,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.008,-6.976,generate-grids-gridgen,-6.976,-1.711,-0.608,-0.0,-2.968,-19.92,-4.623,0.0,0.0,-35.04,-24.54,0.05543
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5537,-5.967,generate-grids-gridgen,-6.007,-2.248,0.0,-0.0,-2.543,-25.43,0.3663,0.0,0.0,-34.05,-25.06,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5366,-4.271,generate-grids-gridgen,-5.892,-2.244,0.0,-0.0,-2.753,-23.81,1.97,0.0,0.0,-30.38,-21.85,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.265,-6.396,generate-grids-gridgen,-6.396,-1.574,-0.4651,-0.0,-2.907,-19.13,-3.292,0.0,0.0,-31.21,-22.42,0.06381
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.304,-6.004,generate-grids-gridgen,-6.005,-2.2,-0.32,-0.0,-2.326,-28.36,-3.942,0.8498,0.0,-42.76,-32.3,2.196
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.226,-7.13,generate-grids-gridgen,-7.131,-3.69,0.0,-0.0,-2.412,-35.53,-0.5307,0.8268,0.0,-50.21,-36.06,2.983
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.563,-5.809,generate-grids-gridgen,-5.811,-2.063,-0.2725,-0.0,-2.549,-27.81,-2.65,0.8621,0.0,-40.33,-30.46,2.483
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.7117,-6.165,generate-grids-gridgen,-6.549,-2.514,0.0,-0.0,-2.546,-19.56,-3.408,0.0,0.0,-33.32,-22.97,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6401,-6.563,generate-grids-gridgen,-7.001,-2.511,-0.32,-0.0,-2.703,-21.98,-2.453,0.0,0.0,-34.68,-24.43,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.021,-7.196,generate-grids-gridgen,-7.197,-2.527,-0.16,-0.0,-2.912,-21.38,-3.53,0.0,0.0,-37.29,-24.91,1.732
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.5467,-6.439,generate-grids-gridgen,-6.439,-2.52,0.0,-0.0,-2.513,-25.63,-0.8341,0.0,0.0,-36.59,-26.47,0.0
O=C([O-])COc1c(Cl)cccc1Cl,x00261-1,15,Done,,1.167,-6.457,generate-grids-gridgen,-6.457,-2.447,-0.16,-0.0,-2.608,-22.83,-2.995,0.3479,0.0,-38.46,-25.82,0.7956
Cc1ccc(CS(N)(=O)=O)cc1F,x00337-1,16,Done,,1.489,-6.143,generate-grids-gridgen,-6.144,-1.554,0.0,-0.0,-3.127,-23.82,-4.458,0.3975,0.0,-38.27,-28.27,0.9081
COc1ccccc1-c1nnco1,x00348-1,17,Done,,1.217,-6.172,generate-grids-gridgen,-6.172,-2.37,0.0,-0.0,-2.838,-24.96,-1.463,0.5035,0.0,-35.91,-26.42,0.4698
CNC(=O)c1cccc2cc[nH]c12,x00358-1,18,Done,,1.495,-4.771,generate-grids-gridgen,-4.771,-2.028,-0.5766,-0.0,-0.6178,-22.84,-2.711,0.0,0.0,-31.6,-25.55,3.85
