SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.521,-6.076,generate-grids-gridgen,-6.077,-1.916,-0.32,-0.0,-2.078,-22.46,-4.251,0.0,-0.001717,-35.73,-26.71,0.4627
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5696,-6.404,generate-grids-gridgen,-6.404,-2.329,0.0,-0.0,-2.756,-24.98,-0.4678,0.0,0.0,-35.21,-25.45,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5835,-6.401,generate-grids-gridgen,-6.401,-2.227,0.0,-0.0,-2.821,-24.15,-0.9742,0.0,0.0,-34.56,-25.12,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.032,-7.554,generate-grids-gridgen,-7.554,-1.846,-0.608,-0.0,-3.233,-19.85,-5.826,0.0,0.0,-36.86,-25.68,0.548
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5591,-6.111,generate-grids-gridgen,-6.15,-2.225,0.0,-0.0,-2.699,-25.19,0.2225,0.0,0.0,-34.19,-24.96,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5275,-4.102,generate-grids-gridgen,-5.724,-1.888,0.0,-0.0,-2.842,-22.49,0.8703,0.0,0.0,-30.08,-21.61,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.284,-7.116,generate-grids-gridgen,-7.116,-1.661,-0.426,-0.0,-3.279,-19.47,-5.176,0.0,0.0,-35.08,-24.64,0.003856
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.763,-6.23,generate-grids-gridgen,-6.231,-2.671,-0.007766,-0.0,-2.485,-31.81,-1.969,0.8498,-0.03147,-46.09,-33.78,0.3344
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.4,-6.845,generate-grids-gridgen,-6.846,-3.051,0.0,-0.0,-2.832,-34.26,-0.5171,0.8268,0.0,-48.63,-34.77,0.03549
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.754,-6.54,generate-grids-gridgen,-6.541,-2.538,-0.3089,-0.0,-2.447,-28.75,-4.482,0.8621,0.0,-46.18,-33.23,0.7006
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.7181,-7.055,generate-grids-gridgen,-7.439,-2.499,0.0,-0.0,-3.56,-21.25,-2.119,0.0,0.0,-35.09,-23.37,0.0
