SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.366,-7.155,generate-grids-gridgen,-7.155,-2.648,-0.32,-0.0,-2.409,-26.15,-3.139,0.0,0.0,-41.77,-29.29,0.01926
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5917,-6.931,generate-grids-gridgen,-6.931,-2.464,-0.1981,-0.0,-2.805,-24.22,-1.693,0.0,0.0,-36.47,-25.91,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5837,-6.627,generate-grids-gridgen,-6.627,-1.834,-0.528,-0.0,-2.693,-21.86,-3.189,0.0,0.0,-34.95,-25.05,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,0.9919,-7.358,generate-grids-gridgen,-7.358,-2.093,-0.32,-0.0,-3.218,-23.0,-3.845,0.0,0.0,-38.37,-26.85,0.6482
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5524,-6.184,generate-grids-gridgen,-6.224,-2.22,0.0,-0.0,-2.637,-25.04,-0.7649,0.0,0.0,-35.41,-25.81,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5203,-4.393,generate-grids-gridgen,-6.015,-2.271,0.0,-0.0,-2.803,-22.56,1.249,0.0,0.0,-30.54,-21.31,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.293,-6.986,generate-grids-gridgen,-6.986,-1.751,-0.4974,-0.0,-3.176,-20.27,-3.654,0.0,0.0,-34.05,-23.92,0.1023
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.475,-6.49,generate-grids-gridgen,-6.492,-2.659,-0.32,-0.0,-2.232,-29.49,-4.372,0.8498,0.0,-45.37,-33.86,2.801
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.217,-7.343,generate-grids-gridgen,-7.345,-3.131,-0.2782,-0.0,-2.773,-31.43,-2.76,0.8268,-0.003532,-50.0,-34.19,0.2506
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.794,-7.489,generate-grids-gridgen,-7.491,-2.984,-0.1918,-0.0,-3.017,-33.19,-3.34,0.8621,0.0,-52.73,-36.53,0.6003
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.6843,-6.553,generate-grids-gridgen,-6.937,-2.516,0.0,-0.0,-2.756,-19.88,-4.473,0.0,0.0,-36.53,-24.36,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6484,-6.974,generate-grids-gridgen,-7.413,-2.203,-0.608,-0.0,-2.828,-19.85,-5.209,0.0,0.0,-36.13,-25.06,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.099,-6.596,generate-grids-gridgen,-6.597,-2.156,-0.16,-0.0,-2.843,-20.92,-2.613,0.0,0.0,-34.93,-23.53,0.1227
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.5379,-7.075,generate-grids-gridgen,-7.075,-2.214,-0.4961,-0.0,-2.607,-23.56,-3.858,0.0,0.0,-39.05,-27.42,0.0
O=C([O-])COc1c(Cl)cccc1Cl,x00261-1,15,Done,,1.276,-6.101,generate-grids-gridgen,-6.101,-2.295,-0.07017,-0.0,-2.697,-24.98,-0.9191,0.3479,0.0,-37.77,-25.9,0.1754
Cc1ccc(CS(N)(=O)=O)cc1F,x00337-1,16,Done,,1.796,-6.682,generate-grids-gridgen,-6.682,-1.855,-0.32,-0.0,-3.002,-23.18,-4.956,0.3975,0.0,-36.43,-28.14,4.819
COc1ccccc1-c1nnco1,x00348-1,17,Done,,1.17,-6.318,generate-grids-gridgen,-6.318,-2.418,0.0,-0.0,-2.667,-25.39,-3.114,0.5035,-0.000278,-39.23,-28.5,0.0166
CNC(=O)c1cccc2cc[nH]c12,x00358-1,18,Done,,1.512,-7.745,generate-grids-gridgen,-7.745,-2.719,-0.32,-0.0,-2.948,-25.77,-3.128,0.0,0.0,-42.77,-28.9,0.04987
O=C(COc1ccccc1)Nc1ccccc1O,x00370-1,19,Done,,4.402,-5.455,generate-grids-gridgen,-5.456,-3.443,-0.32,-0.0,-0.5104,-29.1,-3.588,0.8215,-0.0107,-42.62,-32.69,3.275
CC(C)N1CCN(C(=O)c2cccs2)CC1,x00406-1,20,Done,,2.616,-6.962,generate-grids-gridgen,-7.195,-2.753,-0.32,-0.0,-2.667,-30.98,-3.429,0.6076,0.0,-48.15,-34.41,1.434
CC(C)[NH+]1CCN(C(=O)c2cccs2)CC1,x00406-1,21,Done,,2.117,-7.592,generate-grids-gridgen,-8.256,-3.275,-0.32,-0.0,-3.014,-32.48,-4.177,0.6032,0.0,-54.41,-36.66,0.949
CC1(C)CN(C(=O)NCC2CC2)C1(C)C,x00409-1,22,Done,,2.921,-6.803,generate-grids-gridgen,-6.803,-2.473,-0.32,-0.0,-3.201,-25.5,-4.403,1.126,0.0,-41.7,-29.9,0.3862
O=C(N1CCOCC1)N1CCC=C(F)C1,x00433-1,23,Done,,2.226,-7.599,generate-grids-gridgen,-7.599,-2.545,0.0,-0.0,-4.263,-31.2,0.278,0.7278,0.0,-45.61,-30.93,1.095
COc1ccc(Cn2ccnn2)cc1F,x00462-1,24,Done,,1.51,-6.55,generate-grids-gridgen,-6.55,-2.522,0.0,-0.0,-3.305,-27.78,-0.694,0.7698,0.0,-39.53,-28.47,0.2266
Cc1ccc(CNC(=O)c2sccc2C)cc1,x00463-1,25,Done,,2.848,-6.399,generate-grids-gridgen,-6.399,-3.268,0.0,-0.0,-2.679,-33.13,0.3206,1.157,0.0,-45.49,-32.81,1.133
CN(C[C@@H]1CCOC1)c1ncncc1Cl,x00494-1,26,Done,,4.828,-6.095,generate-grids-gridgen,-6.096,-2.562,0.0,-0.0,-3.062,-28.72,-0.1371,0.9851,0.0,-38.99,-28.85,1.224
O=C(CSc1ccccc1)NC1CCCCC1,x00509-1,27,Done,,5.363,-5.836,generate-grids-gridgen,-5.836,-3.194,0.0,-0.0,-1.516,-33.79,-1.87,0.8436,0.0,-45.48,-35.66,5.722
CC(=O)c1cccc(NC(=O)C(F)(F)F)c1,x00512-1,28,Done,,1.581,-7.267,generate-grids-gridgen,-7.267,-2.081,-0.2,-0.0,-3.843,-27.77,-2.628,0.64,0.0,-43.11,-30.4,0.8762
COc1cccnc1C#N,x00527-1,29,Done,,0.6459,-5.863,generate-grids-gridgen,-5.863,-1.318,-0.32,-0.0,-2.841,-20.14,-2.515,0.0,0.0,-30.62,-22.65,0.02846
COC(=O)c1ccc(S(N)(=O)=O)cc1,x00543-1,30,Done,,1.613,-5.742,generate-grids-gridgen,-5.744,-1.611,-0.32,-0.0,-2.248,-27.72,-3.418,0.3611,-0.02692,-41.41,-31.14,0.05221
Cc1occc1C(=O)N1CCc2ccccc21,x00555-1,31,Done,,1.325,-7.885,generate-grids-gridgen,-7.885,-3.438,-0.3174,-0.0,-3.037,-30.72,-1.436,0.6588,0.0,-47.42,-32.15,0.7341
Cc1cc(F)cc(S(N)(=O)=O)c1,x00558-1,32,Done,,1.141,-6.256,generate-grids-gridgen,-6.257,-2.076,-0.32,-0.0,-2.006,-24.53,-4.19,0.0,0.0,-39.0,-28.73,0.7539
O=C(Cc1ccc(F)cc1)Nc1ccc(F)cc1,x00612-1,33,Done,,2.015,-7.917,generate-grids-gridgen,-7.917,-2.833,-0.2239,-0.0,-3.464,-29.4,-3.312,0.5707,0.0,-48.02,-32.71,0.6901
Cc1ccc(NC(=O)c2cccc(F)c2)cc1O,x00625-1,34,Done,,2.592,-6.928,generate-grids-gridgen,-6.928,-3.108,0.0,-0.0,-2.78,-33.55,-1.537,0.868,0.0,-48.44,-35.09,1.067
CCN(CC)c1cc(C)nc2ncnn12,x00638-1,35,Done,,1.523,-6.438,generate-grids-gridgen,-6.438,-1.77,0.0,-0.0,-3.283,-29.11,-2.145,0.391,0.0,-42.8,-31.25,0.5657
C[C@@H]1CCCN(C(=O)c2cscn2)CC1,x00644-1,36,Done,,2.371,-7.037,generate-grids-gridgen,-7.037,-2.487,-0.32,-0.0,-2.77,-28.66,-4.674,0.6735,0.0,-47.25,-33.34,0.278
Cn1ncc(Cl)c1C(=O)N1CCCCC1,x00652-1,37,Done,,1.287,-6.762,generate-grids-gridgen,-6.762,-2.445,0.0,-0.0,-3.388,-31.12,-0.1914,0.6567,0.0,-43.65,-31.31,0.6116
CN(C)C(=O)c1cc2cccc(F)c2o1,x00664-1,38,Done,,1.428,-7.581,generate-grids-gridgen,-7.581,-2.419,-0.2008,-0.0,-3.194,-28.06,-2.42,0.0,0.0,-43.85,-30.48,0.5323
Cc1ccn(Cc2csc(C)n2)c(=O)c1,x00674-1,39,Done,,0.9501,-6.313,generate-grids-gridgen,-6.314,-2.351,-0.08168,-0.0,-2.732,-28.64,-2.743,0.6944,0.0,-42.99,-31.38,0.1149
Cn1nnc(NC(=O)c2cc3ccccc3o2)n1,x00714-1,40,Done,,0.9992,-5.907,generate-grids-gridgen,-5.907,-1.58,-0.32,-0.0,-2.85,-31.91,-2.948,0.8804,0.0,-45.18,-34.86,2.462
O=C(CCC1CCCCC1)N1CCOCC1,x00720-1,41,Done,,3.641,-7.847,generate-grids-gridgen,-7.847,-3.177,-0.32,-0.0,-3.326,-26.9,-2.315,0.6684,0.0,-42.25,-29.21,1.509
Nc1ccc(CC(=O)N2CCc3ccccc32)cc1,x00753-1,42,Done,,2.013,-7.64,generate-grids-gridgen,-7.641,-4.028,-0.32,-0.0,-2.074,-32.39,-2.727,0.8268,-0.01721,-49.76,-35.12,4.21
CN1CCCc2ccc(S(N)(=O)=O)cc21,x00757-1,43,Done,,1.516,-7.024,generate-grids-gridgen,-7.024,-2.79,0.0,-0.0,-2.407,-28.87,-2.558,0.0,0.0,-43.95,-31.43,0.0001126
