SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.297,-6.326,generate-grids-gridgen,-6.327,-2.321,0.0,-0.0,-1.576,-24.55,-7.349,0.0,-0.1,-44.08,-31.9,0.01708
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5674,-5.704,generate-grids-gridgen,-5.704,-2.162,0.0,-0.0,-2.355,-25.23,0.495,0.0,0.0,-33.15,-24.74,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5522,-5.87,generate-grids-gridgen,-5.87,-2.049,0.0,-0.0,-2.334,-24.74,-1.668,0.0,0.0,-35.71,-26.41,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.032,-5.842,generate-grids-gridgen,-5.842,-0.9654,-0.32,-0.0,-2.686,-20.72,-5.422,0.0,-0.02095,-34.98,-26.14,0.2983
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5569,-6.123,generate-grids-gridgen,-6.163,-2.143,-0.0259,-0.0,-2.417,-25.03,-2.169,0.0,0.0,-37.07,-27.2,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5127,-4.343,generate-grids-gridgen,-5.965,-2.06,0.0,-0.0,-2.3,-24.62,-2.493,0.0,0.0,-41.71,-27.11,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.224,-5.906,generate-grids-gridgen,-5.906,-1.44,-0.238,-0.0,-2.587,-18.91,-4.633,0.0,0.0,-32.03,-23.55,0.03466
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.563,-6.021,generate-grids-gridgen,-6.023,-2.105,-0.2027,-0.0,-2.117,-32.45,-5.322,0.8498,-0.02617,-49.61,-37.77,3.344
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.263,-6.467,generate-grids-gridgen,-6.469,-3.435,0.0,-0.0,-1.998,-35.52,-0.5717,0.8268,0.0,-50.13,-36.09,1.02
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.776,-6.152,generate-grids-gridgen,-6.154,-1.961,-0.32,-0.0,-2.139,-30.07,-6.67,0.8621,-0.09152,-50.51,-36.74,0.3053
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.6832,-4.942,generate-grids-gridgen,-5.326,-2.283,0.0,-0.0,-2.358,-20.35,2.218,0.0,0.0,-22.41,-18.13,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6517,-5.616,generate-grids-gridgen,-6.055,-2.346,0.0,-0.0,-2.307,-24.06,-1.327,0.0,0.0,-34.47,-25.39,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.1,-7.322,generate-grids-gridgen,-7.322,-2.331,-0.16,-0.0,-2.305,-24.03,-8.831,0.0,0.0,-54.84,-32.86,0.5617
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.5214,-6.117,generate-grids-gridgen,-6.117,-2.299,0.0,-0.0,-2.214,-26.82,-1.747,0.0,0.0,-38.82,-28.57,0.0
O=C([O-])COc1c(Cl)cccc1Cl,x00261-1,15,Done,,1.405,-6.773,generate-grids-gridgen,-6.773,-2.233,-0.1388,-0.0,-2.067,-23.99,-9.877,0.3479,0.0,-53.61,-33.87,0.4666
Cc1ccc(CS(N)(=O)=O)cc1F,x00337-1,16,Done,,1.523,-6.31,generate-grids-gridgen,-6.31,-1.954,-0.1386,-0.0,-2.508,-24.13,-5.337,0.3975,-0.1,-40.36,-29.46,0.213
COc1ccccc1-c1nnco1,x00348-1,17,Done,,1.194,-6.158,generate-grids-gridgen,-6.158,-2.375,0.0,-0.0,-2.208,-25.79,-4.559,0.5035,-0.1048,-41.1,-30.35,0.8946
CNC(=O)c1cccc2cc[nH]c12,x00358-1,18,Done,,1.505,-7.042,generate-grids-gridgen,-7.042,-2.292,-0.3072,-0.0,-2.724,-29.5,-1.624,0.0,0.0,-43.51,-31.13,0.6335
O=C(COc1ccccc1)Nc1ccccc1O,x00370-1,19,Done,,4.216,-6.333,generate-grids-gridgen,-6.335,-2.281,-0.6022,-0.0,-2.162,-31.0,-6.084,1.174,0.0,-51.33,-37.08,2.049
CC(C)N1CCN(C(=O)c2cccs2)CC1,x00406-1,20,Done,,2.835,-6.056,generate-grids-gridgen,-6.29,-1.686,-0.3028,-0.0,-2.051,-26.29,-10.27,0.6076,-0.002532,-48.04,-36.56,3.067
CC(C)[NH+]1CCN(C(=O)c2cccs2)CC1,x00406-1,21,Done,,2.04,-5.749,generate-grids-gridgen,-6.414,-3.037,0.0,-0.0,-2.384,-35.34,1.143,0.6032,0.0,-42.61,-34.2,2.431
CC1(C)CN(C(=O)NCC2CC2)C1(C)C,x00409-1,22,Done,,2.696,-6.078,generate-grids-gridgen,-6.078,-2.146,-0.2088,-0.0,-2.26,-19.13,-10.87,1.126,-0.00167,-39.08,-30.0,0.758
O=C(N1CCOCC1)N1CCC=C(F)C1,x00433-1,23,Done,,2.217,-7.267,generate-grids-gridgen,-7.267,-1.794,-0.608,-0.0,-3.238,-25.27,-7.274,0.7278,0.0,-45.79,-32.54,1.109
COc1ccc(Cn2ccnn2)cc1F,x00462-1,24,Done,,1.689,-5.796,generate-grids-gridgen,-5.796,-1.783,-0.32,-0.0,-2.446,-26.44,-4.558,0.7698,-0.01162,-41.29,-31.0,0.5369
Cc1ccc(CNC(=O)c2sccc2C)cc1,x00463-1,25,Done,,3.068,-6.154,generate-grids-gridgen,-6.154,-2.32,-0.32,-0.0,-2.03,-31.02,-7.197,1.157,-0.01124,-50.97,-38.21,1.768
CN(C[C@@H]1CCOC1)c1ncncc1Cl,x00494-1,26,Done,,5.418,-5.65,generate-grids-gridgen,-5.65,-2.023,-0.1996,-0.0,-2.499,-28.31,-3.321,0.9851,0.0,-40.64,-31.63,4.451
O=C(CSc1ccccc1)NC1CCCCC1,x00509-1,27,Done,,5.732,-5.049,generate-grids-gridgen,-5.049,-2.753,-0.32,-0.0,-0.5966,-28.85,-5.207,0.8436,0.0,-42.22,-34.06,3.988
CC(=O)c1cccc(NC(=O)C(F)(F)F)c1,x00512-1,28,Done,,1.879,-6.096,generate-grids-gridgen,-6.096,-0.6778,-0.3992,-0.0,-3.447,-26.59,-5.88,0.64,0.0,-44.45,-32.47,1.272
COc1cccnc1C#N,x00527-1,29,Done,,0.6537,-4.982,generate-grids-gridgen,-4.982,-0.6204,-0.32,-0.0,-2.496,-20.53,-3.292,0.0,-0.02547,-30.91,-23.83,0.06922
COC(=O)c1ccc(S(N)(=O)=O)cc1,x00543-1,30,Done,,1.638,-5.739,generate-grids-gridgen,-5.741,-1.744,0.0,-0.0,-1.774,-29.78,-6.626,0.3611,-0.1,-48.87,-36.41,0.02059
Cc1occc1C(=O)N1CCc2ccccc21,x00555-1,31,Done,,1.434,-7.22,generate-grids-gridgen,-7.22,-2.862,-0.2889,-0.0,-2.659,-33.76,-2.546,0.6588,0.0,-50.57,-36.3,0.454
Cc1cc(F)cc(S(N)(=O)=O)c1,x00558-1,32,Done,,1.098,-5.904,generate-grids-gridgen,-5.905,-1.843,0.0,-0.0,-2.009,-24.23,-5.472,0.0,-0.02064,-39.48,-29.7,0.5548
O=C(Cc1ccc(F)cc1)Nc1ccc(F)cc1,x00612-1,33,Done,,2.132,-7.027,generate-grids-gridgen,-7.027,-1.912,-0.32,-0.0,-3.045,-30.62,-5.267,0.5707,0.0,-48.72,-35.89,3.905
Cc1ccc(NC(=O)c2cccc(F)c2)cc1O,x00625-1,34,Done,,2.37,-6.227,generate-grids-gridgen,-6.228,-1.844,-0.3216,-0.0,-2.347,-28.85,-7.55,0.868,-0.008386,-48.19,-36.4,2.914
CCN(CC)c1cc(C)nc2ncnn12,x00638-1,35,Done,,1.542,-7.028,generate-grids-gridgen,-7.028,-2.049,-0.07132,-0.0,-3.387,-29.25,-2.991,0.391,0.0,-45.35,-32.24,1.381
C[C@@H]1CCCN(C(=O)c2cscn2)CC1,x00644-1,36,Done,,2.512,-5.982,generate-grids-gridgen,-5.982,-2.512,0.0,-0.0,-2.479,-32.49,-0.2681,0.6735,0.0,-43.9,-32.76,1.313
