SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.368,-6.81,generate-grids-gridgen,-6.81,-2.255,-0.3091,-0.0,-2.493,-25.89,-3.058,0.0,0.0,-41.45,-28.95,0.01935
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5815,-7.063,generate-grids-gridgen,-7.063,-2.296,-0.32,-0.0,-2.833,-23.06,-3.073,0.0,0.0,-36.89,-26.13,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.586,-5.894,generate-grids-gridgen,-5.894,-1.628,-0.32,-0.0,-2.524,-21.59,-2.284,0.0,0.0,-32.55,-23.88,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,0.9979,-7.55,generate-grids-gridgen,-7.55,-1.944,-0.5512,-0.0,-3.233,-21.78,-4.59,0.0,-0.04345,-38.02,-26.37,0.4929
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5703,-6.614,generate-grids-gridgen,-6.653,-2.207,-0.2788,-0.0,-2.625,-25.1,-1.912,0.0,0.0,-37.78,-27.01,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5471,-4.267,generate-grids-gridgen,-5.888,-2.153,0.0,-0.0,-2.627,-23.29,0.373,0.0,0.0,-35.93,-22.92,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.219,-6.354,generate-grids-gridgen,-6.354,-1.523,-0.251,-0.0,-3.093,-20.76,-2.991,0.0,0.0,-32.02,-23.75,2.05
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.804,-5.703,generate-grids-gridgen,-5.705,-2.364,-0.16,-0.0,-2.156,-31.51,-1.997,0.8498,0.0,-44.15,-33.51,4.464
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,1.95,-8.498,generate-grids-gridgen,-8.5,-3.666,-0.32,-0.0,-3.271,-34.14,-2.417,0.8268,0.0,-55.18,-36.55,0.2478
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.659,-6.973,generate-grids-gridgen,-6.975,-2.749,-0.32,-0.0,-2.639,-32.27,-3.442,0.8621,0.0,-50.81,-35.71,1.563
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.7316,-6.21,generate-grids-gridgen,-6.594,-2.498,0.0,-0.0,-2.775,-20.35,-1.993,0.0,-0.004784,-31.48,-22.34,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6401,-6.587,generate-grids-gridgen,-7.026,-2.512,-0.32,-0.0,-2.811,-22.89,-1.595,0.0,0.0,-34.56,-24.48,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.146,-6.789,generate-grids-gridgen,-6.79,-2.385,-0.1574,-0.0,-2.721,-22.46,-2.688,0.0,0.0,-42.73,-25.15,0.1863
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.5557,-6.347,generate-grids-gridgen,-6.347,-2.379,0.0,-0.0,-2.547,-26.18,-0.7452,0.0,0.0,-36.78,-26.93,0.0
O=C([O-])COc1c(Cl)cccc1Cl,x00261-1,15,Done,,1.325,-6.279,generate-grids-gridgen,-6.279,-2.359,0.0,-0.0,-2.723,-23.37,-2.511,0.3479,0.0,-43.48,-25.88,0.3049
