SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.341,-6.886,generate-grids-gridgen,-6.886,-2.289,-0.32,-0.0,-2.288,-24.9,-4.845,0.0,-0.01793,-41.72,-29.74,0.106
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5707,-7.379,generate-grids-gridgen,-7.379,-1.98,-0.5275,-0.0,-3.116,-19.71,-4.92,0.0,-0.03121,-35.39,-24.63,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5756,-7.281,generate-grids-gridgen,-7.281,-1.979,-0.608,-0.0,-3.093,-20.21,-3.719,0.0,-0.03187,-34.46,-23.93,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,0.9738,-7.182,generate-grids-gridgen,-7.182,-1.875,-0.608,-0.0,-2.853,-18.88,-5.875,0.0,-0.01998,-35.02,-24.75,0.5278
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5556,-6.386,generate-grids-gridgen,-6.426,-2.326,0.0,-0.0,-2.776,-24.1,-0.7946,0.0,0.0,-34.39,-24.9,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5328,-4.562,generate-grids-gridgen,-6.184,-2.273,0.0,-0.0,-2.811,-22.94,0.3146,0.0,0.0,-32.72,-22.62,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.288,-6.63,generate-grids-gridgen,-6.63,-1.641,-0.32,-0.0,-3.029,-19.74,-4.354,0.0,0.0,-32.09,-24.1,3.006
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.428,-6.514,generate-grids-gridgen,-6.516,-2.4,-0.5548,-0.0,-2.221,-28.46,-5.061,0.8498,-0.00746,-43.67,-33.52,5.085
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.506,-8.072,generate-grids-gridgen,-8.073,-3.82,-0.2197,-0.0,-2.853,-34.04,-2.042,0.8268,0.0,-52.62,-36.08,2.502
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.815,-6.335,generate-grids-gridgen,-6.337,-2.114,-0.32,-0.0,-2.796,-29.22,-3.385,0.8621,0.0,-45.04,-32.6,0.6728
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.7018,-6.184,generate-grids-gridgen,-6.568,-2.462,0.0,-0.0,-2.67,-18.67,-3.35,0.0,0.0,-31.55,-22.02,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6586,-7.047,generate-grids-gridgen,-7.485,-1.989,-0.608,-0.0,-3.107,-19.02,-5.535,0.0,0.0,-35.52,-24.56,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.087,-6.676,generate-grids-gridgen,-6.677,-2.153,-0.16,-0.0,-2.536,-20.09,-5.492,0.0,0.0,-37.82,-25.58,0.1872
