SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.388,-8.265,generate-grids-gridgen,-8.265,-2.724,-0.32,-0.0,-3.199,-28.26,-4.064,0.0,0.0,-47.97,-32.33,0.0398
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5895,-6.617,generate-grids-gridgen,-6.617,-2.385,0.0,-0.0,-2.857,-25.37,-0.7176,0.0,0.0,-36.47,-26.09,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5938,-6.75,generate-grids-gridgen,-6.75,-2.346,0.0,-0.0,-2.894,-26.76,-1.148,0.0,0.0,-39.13,-27.91,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.041,-7.275,generate-grids-gridgen,-7.275,-2.055,-0.32,-0.0,-3.27,-24.46,-2.71,0.0,0.0,-39.06,-27.17,0.4565
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5553,-6.425,generate-grids-gridgen,-6.465,-2.342,0.0,-0.0,-2.797,-26.85,0.1037,0.0,0.0,-37.11,-26.74,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5215,-5.117,generate-grids-gridgen,-6.738,-2.041,-0.2805,-0.0,-2.941,-21.65,-2.626,0.0,0.0,-35.88,-24.28,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.257,-7.405,generate-grids-gridgen,-7.405,-1.829,-0.4154,-0.0,-3.3,-20.68,-5.511,0.0,0.0,-37.68,-26.19,0.03167
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.679,-6.476,generate-grids-gridgen,-6.478,-2.113,-0.3,-0.0,-2.654,-30.74,-4.59,0.8498,-0.03527,-48.12,-35.33,1.53
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.027,-7.926,generate-grids-gridgen,-7.928,-4.365,0.0,-0.0,-2.353,-35.77,-1.651,0.8268,0.0,-53.55,-37.42,4.107
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.469,-5.141,generate-grids-gridgen,-5.143,-2.588,-0.1614,-0.0,-1.181,-29.45,-4.0,0.8621,-0.002528,-41.74,-33.45,4.348
