SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.312,-5.205,generate-grids-gridgen,-5.205,-1.82,-0.1731,-0.0,-1.584,-23.52,-3.02,0.0,0.0,-34.33,-26.54,0.6574
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.5707,-6.147,generate-grids-gridgen,-6.147,-1.996,-0.1964,-0.0,-2.25,-20.96,-3.976,0.0,-0.05951,-34.01,-24.94,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.5686,-5.872,generate-grids-gridgen,-5.872,-1.706,0.0,-0.0,-2.918,-23.46,-0.498,0.0,0.0,-32.31,-23.96,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.004,-7.167,generate-grids-gridgen,-7.167,-1.742,-0.608,-0.0,-3.083,-18.54,-5.376,0.0,0.0,-33.89,-23.92,0.4205
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.5604,-6.6,generate-grids-gridgen,-6.64,-2.335,-0.03391,-0.0,-2.822,-23.97,-1.67,0.0,0.0,-35.72,-25.64,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.5247,-4.257,generate-grids-gridgen,-5.879,-1.508,0.0,-0.0,-2.578,-20.89,-4.992,0.0,0.0,-38.25,-25.89,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.259,-6.681,generate-grids-gridgen,-6.681,-1.691,-0.32,-0.0,-3.194,-21.38,-2.711,0.0,0.0,-33.79,-24.09,0.0023
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.59,-5.5,generate-grids-gridgen,-5.501,-2.295,0.0,-0.0,-2.48,-29.12,-0.8027,0.8498,0.0,-40.02,-29.92,1.129
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.256,-7.243,generate-grids-gridgen,-7.245,-2.97,-0.32,-0.0,-2.658,-29.39,-4.354,0.8268,0.0,-47.62,-33.74,1.474
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,2.974,-5.755,generate-grids-gridgen,-5.757,-1.994,0.0,-0.0,-2.602,-31.42,-3.013,0.8621,0.0,-45.84,-34.43,0.6423
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.6946,-6.783,generate-grids-gridgen,-7.167,-2.647,0.0,-0.0,-3.291,-20.72,-1.291,0.0,0.0,-32.43,-22.01,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.6634,-6.576,generate-grids-gridgen,-7.015,-2.681,0.0,-0.0,-2.974,-24.02,-1.058,0.0,0.0,-35.61,-25.08,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.141,-6.6,generate-grids-gridgen,-6.601,-1.98,-0.1556,-0.0,-2.611,-21.97,-5.037,0.0,0.0,-41.17,-27.0,1.055
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.5482,-6.677,generate-grids-gridgen,-6.677,-2.537,0.0,-0.0,-2.892,-24.69,-0.08733,0.0,0.0,-34.6,-24.77,0.0
