ligand,score,recconf,receptor
x00011_1,-11.776529,1,8r82
x00035_1,-11.863616,1,8r82
x00046_1,-11.764794,1,8r82
x00052_1,-17.488577,1,8r82
x00086_1,-15.383723,1,8r82
x00088_1,-16.270734,1,8r82
x00113_1,20.586674,1,8r82
x00162_1,54.524642,1,8r82
x00186_1,73.33331,1,8r82
x00229_1,-17.687822,1,8r82
x00242_1,-10.787512,1,8r82
x00252_1,-12.398664,1,8r82
x00261_1,-1.874999,1,8r82
x00337_1,-6.420474,1,8r82
x00348_1,-18.742168,1,8r82
x00358_1,-11.085876,1,8r82
x00370_1,63.535795,1,8r82
x00406_1,3.431335,1,8r82
x00409_1,-3.491239,1,8r82
x00433_1,25.199926,1,8r82
x00462_1,-0.23796,1,8r82
x00463_1,27.736254,1,8r82
x00494_1,-8.79284,1,8r82
x00509_1,104.10972,1,8r82
x00512_1,7.94784,1,8r82
x00527_1,-7.034632,1,8r82
x00543_1,6.055476,1,8r82
x00555_1,-11.530976,1,8r82
x00558_1,-17.594331,1,8r82
x00612_1,3.379008,1,8r82
x00625_1,23.224732,1,8r82
x00638_1,-7.07458,1,8r82
x00644_1,0.601024,1,8r82
x00652_1,-9.109761,1,8r82
x00664_1,1.417652,1,8r82
x00674_1,-3.272939,1,8r82
x00714_1,27.761825,1,8r82
x00720_1,3.548269,1,8r82
x00753_1,3.592574,1,8r82
x00757_1,-4.075202,1,8r82
x00773_1,-9.903098,1,8r82
x00794_1,9.834922,1,8r82
x00819_1,71.202044,1,8r82
x00913_1,-12.045381,1,8r82
x00979_1,-3.080907,1,8r82
x00981_1,-14.923986,1,8r82
x00982_1,0.597972,1,8r82
x00990_1,-14.518998,1,8r82
x01009_1,-8.442548,1,8r82
x01016_1,9.858402,1,8r82
x01039_1,74.512908,1,8r82
x01070_1,33.152327,1,8r82
x01105_1,74.640854,1,8r82
x01108_1,80.93398,1,8r82
x01111_1,60.35299,1,8r82
x01126_1,-13.028298,1,8r82
x01130_1,-9.86968,1,8r82
x01131_1,-16.818291,1,8r82
x01217_1,-15.787294,1,8r82
x01233_1,-11.619406,1,8r82
x01234_1,3.399862,1,8r82
x01249_1,-12.521837,1,8r82
x01260_1,-12.713661,1,8r82
x01287_1,-10.193784,1,8r82
x01295_1,-14.384164,1,8r82
x01306_1,-13.827152,1,8r82
x01325_1,57.011164,1,8r82
x01334_1,30.083565,1,8r82
x01358_1,25.354106,1,8r82
x01378_1,-6.426056,1,8r82
x01382_1,4.427313,1,8r82
x01401_1,13.676924,1,8r82
x01411_1,-6.376757,1,8r82
x01415_1,-3.567213,1,8r82
x01438_1,25.735039,1,8r82
x01464_1,-12.295584,1,8r82
x01502_1,37.24987,1,8r82
x01511_1,-6.915876,1,8r82
x02691_1,7.323678,1,8r82
x02696_1,106.507697,1,8r82
x02698_1,-10.331548,1,8r82
x02700_1,-15.347805,1,8r82
x02704_1,3.40914,1,8r82
x02708_1,-4.384782,1,8r82
x02715_1,38.832958,1,8r82
x02736_1,36.394393,1,8r82
x02742_1,28.999303,1,8r82
x02745_1,5.637812,1,8r82
x02746_1,-0.149871,1,8r82
x02758_1,8.805255,1,8r82
x02776_1,15.01538,1,8r82
x02777_1,6.124875,1,8r82
x02782_1,145.048395,1,8r82
x02790_1,23.477143,1,8r82
x02792_1,-8.406585,1,8r82
x02793_1,6.665456,1,8r82
x02797_1,4.898732,1,8r82
x02800_1,5.894201,1,8r82
x02806_1,3.293254,1,8r82
x02813_1,79.385223,1,8r82
x02819_1,53.162458,1,8r82
x02828_1,62.504491,1,8r82
