SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
NS(=O)(=O)c1ccc2c(c1)CCC2,x00011-1,1,Done,,2.805,-6.504,glide-grid_1,-6.505,-2.616,0.0,-0.0,-2.182,-27.8,-2.114,0.0,0.0,-41.36,-29.91,0.009505
Nc1nc2ccccc2s1,x00035-1,2,Done,,0.7282,-7.68,glide-grid_1,-7.68,-1.983,-0.5775,-0.0,-3.457,-21.21,-4.019,0.0,0.0,-36.78,-25.22,0.0
Nc1nc2cc(Cl)ccc2o1,x00046-1,3,Done,,0.6404,-6.168,glide-grid_1,-6.168,-2.117,0.0,-0.0,-2.551,-25.28,-1.576,0.0,0.0,-36.69,-26.86,0.0
NC(=O)c1cccc(Cl)c1,x00052-1,4,Done,,1.155,-6.931,glide-grid_1,-6.931,-2.006,-0.32,-0.0,-2.984,-22.86,-3.187,0.0,0.0,-36.48,-26.05,0.4217
O=c1[nH]c2cc(Cl)ccc2o1,x00086-1,5,Done,,0.6666,-6.796,glide-grid_1,-6.836,-2.379,-0.2456,-0.0,-2.712,-25.55,-1.487,0.0,0.0,-38.11,-27.03,0.0
O=c1[n-]c2cc(Cl)ccc2o1,x00086-1,6,Done,,0.6246,-4.574,glide-grid_1,-6.195,-2.181,0.0,-0.0,-2.814,-22.96,-0.351,0.0,0.0,-33.92,-23.31,0.0
NC(=O)C1CCCCC1,x00088-1,7,Done,,1.535,-6.99,glide-grid_1,-6.99,-1.569,-0.4765,-0.0,-3.099,-19.34,-5.856,0.0,0.0,-35.74,-25.19,0.1512
COc1ccc2nc(NC(=O)C3CC3)sc2c1,x00113-1,8,Done,,1.933,-6.045,glide-grid_1,-6.047,-2.405,-0.32,-0.0,-1.999,-28.73,-4.905,0.8498,-0.0003036,-45.61,-33.64,0.4042
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,x00162-1,9,Done,,2.52,-7.16,glide-grid_1,-7.161,-3.316,0.0,-0.0,-2.885,-32.42,-1.104,0.8268,0.0,-48.07,-33.53,0.07437
Cc1cccc(O)c1NC(=O)c1ccncc1F,x00186-1,10,Done,,3.087,-5.861,glide-grid_1,-5.863,-2.718,-0.2764,-0.0,-1.617,-32.59,-3.221,0.8621,0.0,-46.77,-35.81,2.815
Nc1[nH+]ccc2ccccc12,x00229-1,11,Done,,0.8427,-6.607,glide-grid_1,-6.991,-2.512,0.0,-0.0,-2.767,-20.91,-4.439,0.0,0.0,-37.48,-25.35,0.0
Nc1nccc2ccccc12,x00229-1,12,Done,,0.7949,-6.719,glide-grid_1,-7.158,-2.602,-0.32,-0.0,-2.798,-23.75,-1.671,0.0,0.0,-36.23,-25.42,0.0
O=C([O-])Cc1cc(Cl)cc(Cl)c1,x00242-1,13,Done,,1.277,-6.734,glide-grid_1,-6.735,-2.354,-0.1363,-0.0,-2.619,-21.08,-3.809,0.0,0.0,-38.39,-24.89,0.1585
Nc1nc2ccc(Cl)cc2s1,x00252-1,14,Done,,0.6509,-6.436,glide-grid_1,-6.436,-2.351,0.0,-0.0,-2.476,-27.11,-1.689,0.0,0.0,-39.75,-28.8,0.0
O=C([O-])COc1c(Cl)cccc1Cl,x00261-1,15,Done,,1.668,-6.447,glide-grid_1,-6.447,-2.324,-0.1474,-0.0,-2.174,-21.28,-7.237,0.3479,0.0,-42.17,-28.51,1.219
Cc1ccc(CS(N)(=O)=O)cc1F,x00337-1,16,Done,,1.913,-6.86,glide-grid_1,-6.86,-2.309,0.0,-0.0,-3.273,-26.6,-2.311,0.3975,0.0,-39.76,-28.91,1.686
